COMPONET_GROUP,COMPONENT,TOPIC,POTENTIAL_IMPACT,PERC_ONE_DEC_PLACE,OUTCOME,BENCHMARK_PERCENTILE
Analytical Capability,AMAR,Combined Analytical Maturity Score,3,48,COMPETENT,48
Analytical Capability,Released,Workflow Management,2,52,COMPETENT,52
Analytical Capability,Released,Descriptive & Diagnostic,4,69,ESTABLISHED,80
Data Management,Processed,Changing State,4,72,ADVANCED,66
Data Management,Processed,Process Efficiency,5,46,COMPETENT,46
Data Management,Stored,Granularity & Frequency,5,50,COMPETENT,66
Data Management,Processed,Combined Data Governance,5,34,IMMATURE,40
Data Management,Processed,Taxonomy,5,42,IMMATURE,56
Data Management,DMSP,Data Quality,5,18,UNDEVELOPED,35
Data Management,Processed,Flow of Data,3,21,UNDEVELOPED,38
Data Management,Stored,Depth & Breadth,3,24,UNDEVELOPED,63
Information Usage,Consumed,Commercial Enabler,3,76,ADVANCED,70
Information Usage,Consumed,Empowered to Act,3,72,ADVANCED,72
Information Usage,Consumed,Plug & Play,5,94,COMMERCIALLY SOUND,81
Information Usage,Actioned,Investment Intention,4,55,ESTABLISHED,66
Information Usage,Consumed,Future State,5,63,ESTABLISHED,74
Information Usage,Actioned,Measurement,3,8,UNDEVELOPED,25
Information Usage,Consumed,Current State,5,6,UNDEVELOPED,23
Analytical Capability,AMAR,Simplification,4,78,ADVANCED,65
Analytical Capability,Assessed,Future State,4,52,COMPETENT,68
Analytical Capability,Assessed,Investment in Insight,4,59,ESTABLISHED,53
Analytical Capability,Released,Commercial Understanding,4,61,ESTABLISHED,77
Analytical Capability,Released,Predictive & Prescriptive,4,60,ESTABLISHED,54
Data Management,Stored,Changing State,4,81,ADVANCED,81
Data Management,Stored,External Data,3,51,COMPETENT,51
Data Management,Processed,Combined Processed Score,4,65,ESTABLISHED,69
Data Management,Processed,Technical Data Governance,4,23,UNDEVELOPED,62
Information Usage,Actioned,Advancing Intelligence,4,81,ADVANCED,85
Information Usage,Actioned,Current State,4,88,COMMERCIALLY SOUND,75
